Date,Open,High,Low,Close,Volume
4-Jul-17,36600.00,38650.00,36600.00,38500.00,4730476
3-Jul-17,37300.00,37650.00,36250.00,36550.00,1734637
30-Jun-17,36800.00,37700.00,36600.00,37100.00,2237842
29-Jun-17,38000.00,38250.00,37350.00,37550.00,2333799
28-Jun-17,37600.00,38650.00,37000.00,37250.00,3648736
27-Jun-17,36950.00,38700.00,36850.00,38050.00,4692241
26-Jun-17,36500.00,37250.00,36350.00,36700.00,2240529
23-Jun-17,36500.00,36700.00,35400.00,36500.00,3166265
22-Jun-17,37000.00,37250.00,36200.00,36400.00,2349924
21-Jun-17,36250.00,36800.00,35700.00,36650.00,3001839
20-Jun-17,37900.00,38150.00,36000.00,36900.00,4166615
19-Jun-17,37400.00,38400.00,37000.00,37250.00,2984240
16-Jun-17,37850.00,39100.00,37400.00,37400.00,3247953
15-Jun-17,37400.00,38150.00,36450.00,38150.00,4198795
14-Jun-17,38300.00,38300.00,37000.00,37250.00,4527498
13-Jun-17,35000.00,37700.00,34950.00,37600.00,5857597
12-Jun-17,36000.00,36400.00,34700.00,34900.00,5311608
9-Jun-17,36750.00,36800.00,35650.00,36700.00,3766862
8-Jun-17,36100.00,36800.00,35750.00,36500.00,5385291
7-Jun-17,34350.00,35950.00,34200.00,35400.00,4866736
5-Jun-17,33550.00,34300.00,32900.00,33950.00,3606460
2-Jun-17,32900.00,33500.00,32500.00,33300.00,3308839
1-Jun-17,32550.00,32800.00,32100.00,32600.00,2862448
31-May-17,32300.00,32900.00,31700.00,32600.00,5221008
30-May-17,30600.00,32200.00,30500.00,32050.00,7821506
29-May-17,30400.00,30500.00,30000.00,30200.00,3110472
26-May-17,29000.00,30150.00,28950.00,30050.00,5268403
25-May-17,29100.00,29200.00,28750.00,28850.00,1978637
24-May-17,29050.00,29350.00,28850.00,29100.00,1625157
23-May-17,29350.00,29400.00,29000.00,29100.00,1648992
22-May-17,29600.00,29650.00,29000.00,29250.00,1636881
19-May-17,29450.00,29500.00,29150.00,29450.00,1368228
18-May-17,28800.00,29600.00,28700.00,29500.00,2365004
17-May-17,28900.00,29200.00,28800.00,29100.00,1873014
16-May-17,29000.00,29050.00,28700.00,28800.00,2043068
15-May-17,29100.00,29150.00,28250.00,28800.00,3063654
12-May-17,29650.00,29900.00,28950.00,29050.00,3322821
11-May-17,30100.00,30150.00,29550.00,29700.00,2558877
10-May-17,30400.00,30550.00,29800.00,29900.00,3099030
8-May-17,30050.00,30600.00,29950.00,30400.00,2381108
4-May-17,29650.00,30200.00,29650.00,30000.00,1821060
2-May-17,29650.00,30100.00,29600.00,29600.00,2595962
28-Apr-17,29600.00,30100.00,29050.00,29400.00,4368301
27-Apr-17,31250.00,31300.00,29750.00,29850.00,5071276
26-Apr-17,31800.00,31950.00,31200.00,31400.00,3283454
25-Apr-17,30050.00,31300.00,30050.00,31200.00,2941926
24-Apr-17,29950.00,30200.00,29800.00,30200.00,1200145
21-Apr-17,30000.00,30200.00,29650.00,29900.00,1720494
20-Apr-17,30600.00,30900.00,29600.00,29800.00,2975430
19-Apr-17,30700.00,31050.00,30350.00,30600.00,1011493
18-Apr-17,31100.00,31350.00,30600.00,30850.00,1353901
17-Apr-17,30850.00,31050.00,30750.00,30800.00,826858
14-Apr-17,30750.00,30950.00,30350.00,30500.00,727617
13-Apr-17,30450.00,30900.00,30200.00,30900.00,1517073
12-Apr-17,30850.00,30850.00,30050.00,30400.00,1475482
11-Apr-17,30600.00,30850.00,30300.00,30850.00,1904474
10-Apr-17,30650.00,30750.00,29900.00,30100.00,1661439
7-Apr-17,30050.00,30350.00,29750.00,29850.00,744883
6-Apr-17,30050.00,30250.00,29500.00,29800.00,1598182
5-Apr-17,30150.00,30350.00,29650.00,30350.00,1642867
4-Apr-17,30250.00,30650.00,30000.00,30150.00,952033
3-Apr-17,30400.00,30450.00,29900.00,30250.00,1046730
31-Mar-17,30300.00,30350.00,30000.00,30250.00,1188232
30-Mar-17,30750.00,31150.00,29950.00,30100.00,2649021
29-Mar-17,29600.00,30500.00,29450.00,30450.00,3208297
28-Mar-17,29250.00,29400.00,28800.00,29200.00,1119045
27-Mar-17,29650.00,30000.00,28900.00,29000.00,1371757
24-Mar-17,29400.00,29800.00,29050.00,29400.00,1542124
23-Mar-17,29750.00,30050.00,29300.00,29300.00,2392253
22-Mar-17,28900.00,29900.00,28900.00,29500.00,3887746
21-Mar-17,28250.00,28950.00,28150.00,28900.00,2732278
20-Mar-17,28350.00,28400.00,27950.00,28050.00,970644
17-Mar-17,28150.00,28300.00,27850.00,28000.00,1669202
16-Mar-17,28100.00,28300.00,27950.00,28200.00,1370931
15-Mar-17,28000.00,28200.00,27800.00,27850.00,1207082
14-Mar-17,28200.00,28550.00,28200.00,28250.00,1559141
13-Mar-17,27900.00,28150.00,27750.00,28000.00,973155
10-Mar-17,28550.00,28600.00,27750.00,27900.00,1490904
9-Mar-17,28600.00,28750.00,28250.00,28450.00,1039578
8-Mar-17,28700.00,28900.00,28250.00,28400.00,1906670
7-Mar-17,27950.00,28600.00,27750.00,28600.00,2149778
6-Mar-17,28000.00,28100.00,27400.00,27900.00,1157089
3-Mar-17,27650.00,28100.00,27450.00,28050.00,1733427
2-Mar-17,27850.00,27900.00,27200.00,27700.00,2131912
28-Feb-17,27500.00,27650.00,27150.00,27400.00,1940933
27-Feb-17,27700.00,27800.00,27050.00,27300.00,2045767
24-Feb-17,28650.00,28650.00,27550.00,27650.00,2396253
23-Feb-17,28600.00,28750.00,28350.00,28550.00,1236698
22-Feb-17,28900.00,28950.00,28250.00,28450.00,1537431
21-Feb-17,28250.00,29150.00,28250.00,28700.00,2249299
20-Feb-17,28450.00,28500.00,28000.00,28100.00,1227376
17-Feb-17,28300.00,28650.00,28050.00,28400.00,1432794
16-Feb-17,27850.00,28400.00,27700.00,28200.00,1346715
15-Feb-17,28450.00,28500.00,27700.00,27850.00,2628831
14-Feb-17,28100.00,28600.00,28050.00,28450.00,1708033
13-Feb-17,28550.00,28550.00,27550.00,28050.00,3363942
10-Feb-17,29600.00,29700.00,29150.00,29150.00,1083368
9-Feb-17,29550.00,29650.00,28950.00,29350.00,1498389
8-Feb-17,29000.00,29500.00,28650.00,29450.00,2016611
7-Feb-17,28700.00,29200.00,28250.00,28900.00,2547638
6-Feb-17,29800.00,29850.00,28850.00,29000.00,1986943
3-Feb-17,30350.00,30500.00,29350.00,29550.00,2302496
2-Feb-17,31000.00,31050.00,30000.00,30200.00,1747624
1-Feb-17,30900.00,31200.00,30750.00,31050.00,1259613
31-Jan-17,30500.00,31000.00,30450.00,30650.00,1780993
